Time Stamp,time,P up,P down,T,Water in,Water out,Gas in,MFC measure,MFC set,Gas out,Meter measure,
58:38.9,4.716666739,1793.113048,1672.887211,6.350978,0,0,0,0,0,0,0,5
59:38.9,4.733333406,1792.760584,1672.620177,6.368801,0,0,0,0,0,0,0,6
00:38.9,4.750000073,1792.364599,1672.375044,6.362298,0,0,0,0,0,0,0,7
01:38.9,4.76666674,1791.928349,1672.134621,6.345658,0,0,0,0,0,0,0,8
02:38.9,4.783333407,1791.404539,1671.963218,6.348191,0,0,0,0,0,0,0,9
03:38.9,4.800000074,1790.905184,1671.770162,6.340871,0,0,0,0,0,0,0,10
04:38.9,4.816666741,1790.439939,1671.519498,6.343733,0,0,0,0,0,0,0,11
05:38.9,4.833333408,1789.978076,1671.372164,6.331397,0,0,0,0,0,0,0,12
06:38.9,4.850000075,1789.457591,1671.229291,6.311622,0,0,0,0,0,0,0,13
07:38.9,4.866666742,1788.98468,1670.990662,6.307519,0,0,0,0,0,0,0,14
08:38.9,4.883333409,1788.538711,1670.888752,6.292648,0,0,0,0,0,0,0,15
09:38.9,4.900000076,1788.074943,1670.719441,6.321991,0,0,0,0,0,0,0,16
10:38.9,4.916666743,1787.605418,1670.6718,6.320003,0,0,0,0,0,0,0,17
11:38.9,4.93333341,1787.203884,1670.532639,6.326404,0,0,0,0,0,0,0,18
12:38.9,4.950000077,1786.824241,1670.27465,6.332212,0,0,0,0,0,0,0,19
13:38.9,4.966666744,1786.420555,1670.149866,6.332192,0,0,0,0,0,0,0,0
14:38.9,4.983333411,1785.992404,1669.970988,6.34297,0,0,0,0,0,0,0,1
15:38.9,5.000000078,1788.083066,1669.674975,6.366468,0,0,0,0,0,0,0,2
16:38.9,5.016666745,1790.854633,1669.151471,6.349299,0,0,0,0,0,0,0,3
17:38.9,5.033333412,1790.254592,1669.022352,6.352958,0,0,0,0,0,0,0,4
18:38.9,5.050000079,1789.709479,1668.921713,6.373274,0,0,0,0,0,0,0,5
19:38.9,5.066666746,1789.159368,1668.883266,6.359075,0,0,0,0,0,0,0,6
20:38.9,5.083333413,1788.692657,1668.772909,6.368933,0,0,0,0,0,0,0,7
