Time Stamp,time,P up,P down,T,Water in,Water out,Gas in,Gas out,Meter measure
30:30.7,46.50021667,908.445694,762.626896,6.801331,0,1,0,0.1712455,0
30:40.7,46.66688333,908.43585,762.612394,6.846776,0,1,0,0.1712455,0
30:50.7,46.83355,908.471049,762.63452,6.792745,0,1,0,0.1712455,0
31:00.7,47.00021667,908.40781,762.725268,6.766228,0,1,0,0.1712455,0
31:10.7,47.16688333,908.437118,762.844271,6.823995,0,1,0,0.1712455,0
31:20.7,47.33356667,908.39722,763.091845,6.816195,0,1,0,0.1712455,0
31:30.7,47.50021667,908.407139,762.447793,6.806872,0,1,0,0.1712455,0
31:40.7,47.6669,908.422277,763.056413,6.843661,0,1,0,0.1712455,0
31:50.7,47.83355,908.403857,762.850699,6.838168,0,1,0,0.1712455,0
32:00.7,48.00025,908.42966,763.105898,6.830653,0,1,0,0.1712455,0
32:10.7,48.1669,908.37537,763.147908,6.860996,0,1,0,0.1712455,0
32:20.7,48.33355,908.408332,763.286645,6.849273,0,1,0,0.1712455,0
32:30.7,48.50025,908.408108,763.031446,6.833269,0,1,0,0.1712455,0
32:40.7,48.6669,908.374997,763.199187,6.855289,0,1,0,0.1712455,0
32:50.7,48.83356667,908.449944,763.447509,6.813055,0,1,0,0.1712455,0
33:00.7,49.00021666,908.402068,763.295316,6.804542,0,1,0,0.1712455,0
33:10.7,49.1669,908.444202,763.378439,6.8395,0,1,0,0.1712455,0
33:20.7,49.33358333,908.39021,763.164503,6.808585,0,1,0,0.1712455,0
33:30.7,49.50023334,908.430033,763.050583,6.806349,0,1,0,0.1712455,0
33:40.7,49.6669,908.421233,763.252409,6.851294,0,1,0,0.1712455,0
33:50.7,49.83356666,908.402962,763.087061,6.835409,0,1,0,0.1712455,0
34:00.7,50.00023334,908.403857,763.120699,6.826682,0,1,0,0.1712455,0
34:10.7,50.16691667,908.385736,763.312509,6.850462,0,1,0,0.1712455,0
34:20.7,50.33356666,908.434358,763.064486,6.844517,0,1,0,0.1712455,0
34:30.7,50.50025,908.394312,763.136247,6.834958,0,1,0,0.1712455,0
34:40.7,50.6669,908.418698,763.107692,6.861876,0,1,0,0.1712455,0
34:50.7,50.83356667,908.441816,763.052227,6.840641,0,1,0,0.1712455,0
35:00.7,51.00025,908.481489,763.155832,6.823543,0,1,0,0.1712455,0
35:10.7,51.16691666,908.441294,763.164054,6.86209,0,1,0,0.1712455,0
35:20.7,51.33358334,908.445768,762.590118,6.849059,0,1,0,0.1712455,0
35:30.7,51.50036667,908.387824,762.825583,6.814197,0,1,0,0.1712455,0
35:40.7,51.66691666,908.388048,762.981364,6.8507,0,1,0,0.1712455,0
35:50.7,51.8336,908.450988,763.026812,6.829036,0,1,0,0.1712455,0
36:00.7,52.00025,908.450541,762.980915,6.811795,0,1,0,0.1712455,0
36:10.7,52.16691667,908.450243,762.855035,6.838477,0,1,0,0.1712455,0
36:20.7,52.33356667,908.419443,763.032792,6.827562,0,1,0,0.1712455,0
36:30.7,52.50026666,908.428989,763.07226,6.825136,0,1,0,0.1712455,0
36:40.7,52.66691667,908.432643,763.242243,6.862946,0,1,0,0.1712455,0
36:50.7,52.83358333,908.43406,763.101563,6.842068,0,1,0,0.1712455,0
37:00.7,53.00026666,908.41661,762.99736,6.831177,0,1,0,0.1712455,0
37:10.7,53.16691667,908.434507,762.97329,6.875453,0,1,0,0.1712455,0
37:20.7,53.3336,908.472988,762.521497,6.850604,0,1,0,0.1712455,0
