Time	MFC IN Counter value ls	MFC IN Measure sccm	MFC IN Setpoint sccm	Meter Out Counter value ls	Meter Out Measure ls/min
"?""2022-01-24 18:17:55.832"""	21.88408	74.9452	75	5.661877	0
"?""2022-01-24 18:18:55.836"""	21.96456	75.03059	75	5.697743	0.04278258
"?""2022-01-24 18:19:55.825"""	22.04501	74.78667	75	5.702546	0
"?""2022-01-24 18:20:55.828"""	22.12549	75.38948	75	5.72921	0.05774289
"?""2022-01-24 18:21:55.834"""	22.20596	75.01463	75	5.747601	0.06306835
"?""2022-01-24 18:22:55.823"""	22.28644	75.24688	75	5.772792	0.0557838
"?""2022-01-24 18:23:55.826"""	22.3669	75.18092	75	5.798811	0
"?""2022-01-24 18:24:55.811"""	22.4474	74.91019	75	5.816847	0.04584895
"?""2022-01-24 18:25:55.816"""	22.52787	74.44444	75	5.840931	0.04636813
"?""2022-01-24 18:26:55.805"""	22.60835	75.41064	75	5.85005	0
"?""2022-01-24 18:27:55.790"""	22.68878	75.11473	75	5.88109	0
"?""2022-01-24 18:28:55.795"""	22.76925	74.94896	75	5.904165	0.04368917
"?""2022-01-24 18:29:55.802"""	22.84974	74.93286	75	5.914366	0.06510746
"?""2022-01-24 18:30:55.790"""	22.93022	74.874	75	5.938066	0.05612632
"?""2022-01-24 18:31:55.793"""	23.01065	75.69624	75	5.949265	0.08734389
"?""2022-01-24 18:32:55.781"""	23.09111	75.08298	75	5.978905	0.05277351
"?""2022-01-24 18:33:55.783"""	23.17155	74.88906	75	6.003997	0
"?""2022-01-24 18:34:55.787"""	23.25205	75.05285	75	6.017175	0
"?""2022-01-24 18:35:55.779"""	23.33255	75.04983	75	6.049187	0.03758896
"?""2022-01-24 18:36:55.784"""	23.41296	74.94326	75	6.060078	0
"?""2022-01-24 18:37:55.766"""	23.4934	75.12852	75	6.08999	0.000456825
"?""2022-01-24 18:38:55.754"""	23.57386	74.73013	75	6.106868	0.04783706
"?""2022-01-24 18:39:55.758"""	23.6544	75.14649	75	6.11147	0
"?""2022-01-24 18:40:55.748"""	23.73483	74.76637	75	6.154964	0
"?""2022-01-24 18:41:55.750"""	23.81532	75.04691	75	6.154964	0
"?""2022-01-24 18:42:55.738"""	23.89573	75.1273	75	6.198504	0.03628718
"?""2022-01-24 18:43:55.725"""	23.97616	74.91318	75	6.200151	0
"?""2022-01-24 18:44:55.729"""	24.05664	74.96335	75	6.22317	0
"?""2022-01-24 18:45:55.719"""	24.13714	74.94318	75	6.250499	0
"?""2022-01-24 18:46:55.721"""	24.21758	75.19653	75	6.264645	0.05417841
"?""2022-01-24 18:47:55.709"""	24.29803	75.05944	75	6.293755	0
"?""2022-01-24 18:48:55.713"""	24.3785	75.12649	75	6.299627	0.07619964
"?""2022-01-24 18:49:55.701"""	24.45896	75.09289	75	6.332676	0.0431891
"?""2022-01-24 18:50:55.705"""	24.53941	74.8608	75	6.345602	0
"?""2022-01-24 18:51:55.709"""	24.61993	75.36095	75	6.37144	0.05778181
"?""2022-01-24 18:52:55.713"""	24.70037	75.09682	75	6.395043	0
"?""2022-01-24 18:53:55.701"""	24.78085	75.42786	75	6.396153	0.06159903
"?""2022-01-24 18:54:55.705"""	24.8613	72.86399	75	6.423183	0
"?""2022-01-24 18:55:55.692"""	24.94176	74.97825	75	6.442417	0
