,CH4_12,N2_12,CO2_12,CH4_14,N2_14,CO2_14
54,0.046038711,0.738472579,0.21548871,0.768564076,0.185062231,0.046373693
55,0.039990839,0.742627159,0.217382002,0.76571615,0.187340892,0.046942958
56,0.034757577,0.746437196,0.218805227,0.762919843,0.18957732,0.047502837
57,0.028197255,0.75081175,0.220990995,0.760166424,0.191780369,0.048053207
58,0.027211488,0.751061797,0.221726715,0.757370923,0.194017088,0.04861199
59,0.026237337,0.751172768,0.222589895,0.754466183,0.19634121,0.049192607
60,0.025263203,0.751282868,0.223453929,0.751741877,0.198520965,0.049737158
61,0.024288346,0.751393503,0.22431815,0.748278378,0.201289749,0.050431872
62,0.023312996,0.751504189,0.225182815,0.733748998,0.212914043,0.053336959
63,0.022336498,0.75161634,0.226047162,0.72077449,0.223290954,0.055934555
64,0.021360582,0.751726263,0.226913155,0.708216431,0.233333184,0.058450385
65,0.020383234,0.751838443,0.227778322,0.695485005,0.24349737,0.061017626
66,0.019405883,0.751949661,0.228644456,0.683312809,0.253220555,0.063466635
67,0.018428101,0.752060709,0.22951119,0.671803086,0.262422322,0.065774593
68,0.017449777,0.752172112,0.230378111,0.660937959,0.27111661,0.067945431
69,0.016470579,0.752284703,0.231244718,0.649284227,0.280414329,0.070301444
70,0.015491433,0.752395839,0.232112728,0.635492806,0.291363622,0.073143572
71,0.01451192,0.752506754,0.232981325,0.6101608,0.311546705,0.078292495
72,0.013531509,0.752618974,0.233849517,0.573494905,0.340738199,0.085766896
73,0.012551045,0.752729892,0.234719063,0.542488132,0.363667635,0.093844234
74,0.011570062,0.752840943,0.235588995,0.516566097,0.383052416,0.100381487
75,0.01058851,0.752952302,0.236459188,0.50332692,0.390174698,0.106498383
76,0.009606304,0.753064533,0.237329163,0.492974496,0.395701436,0.111324068
77,0.008623792,0.753176107,0.238200102,0.482431096,0.40147986,0.116089044
78,0.008420599,0.753739697,0.237839704,0.471846848,0.407587676,0.120565476
79,0.008217451,0.75430276,0.237479788,0.460829168,0.413546626,0.125624206
80,0.008014124,0.75486653,0.237119346,0.452602937,0.417378369,0.130018694
81,0.007810685,0.755430649,0.236758667,0.44421532,0.421259536,0.134525144
82,0.007607091,0.755995374,0.236397536,0.435605341,0.425814895,0.138579764
83,0.007403557,0.756559461,0.236036982,0.426909047,0.429933179,0.143157773
